Episode,TotalReward
1,-6.0
2,-6.5
3,-6.75
4,-4.75
5,-6.0
6,-5.75
7,-3.75
8,-3.0
9,-5.0
10,-5.0
11,-8.0
12,-1.0499999999999998
13,-4.25
14,-3.1999999999999997
15,-6.25
16,-4.75
17,-4.25
18,-6.0
19,-3.4
20,-5.65
21,-6.0
22,-7.5
23,-2.9499999999999997
24,-6.5
25,-4.55
26,-6.0
27,-4.25
28,-3.75
29,-5.25
30,-7.0
31,-3.1999999999999997
32,-5.25
33,-4.25
34,-5.75
35,-5.75
36,-5.5
37,-4.4
38,-5.75
39,-3.0
40,-5.050000000000001
41,-6.0
42,-4.65
43,-5.15
44,-1.15
45,-4.75
46,-3.0
47,-6.4
48,-5.800000000000001
49,-5.300000000000001
50,-5.5
51,-2.0
52,-5.0
53,-4.5
54,-3.5
55,-5.0
56,-2.25
57,-3.75
58,-5.75
59,-4.25
60,-3.5
61,-3.15
62,-5.5
63,-7.0
64,-4.25
65,-5.15
66,-5.200000000000001
67,-1.9499999999999997
68,-5.65
69,-3.9
70,-5.200000000000001
71,-4.8
72,-5.25
73,-7.0
74,-5.25
75,-3.4
76,-6.9
77,-7.0
78,-4.15
79,-3.9
80,-5.0
81,-5.0
82,-0.3999999999999999
83,-3.05
84,-3.25
85,-4.9
86,-5.0
87,-5.4
88,-2.9
89,-4.65
90,-5.75
91,-3.0
92,-2.0
93,-3.15
94,-5.65
95,-4.4
96,-4.25
97,-5.9
98,-2.4
99,-8.5
100,-3.75
101,-4.4
102,-3.4499999999999997
103,-6.25
104,-6.5
105,-6.5
106,-3.9
107,-4.5
108,-3.5
109,-3.8
110,-5.0
111,-2.9
112,-2.4
113,-4.0
114,-4.4
115,-5.25
116,-5.25
117,-3.15
118,-2.9
119,-3.9
120,-2.55
121,-5.75
122,-6.15
123,-5.050000000000001
124,-7.0
125,-3.9
126,-7.5
127,-2.3
128,-4.4
129,-6.0
130,-6.25
131,-4.4
132,-2.9
133,-4.25
134,-7.25
135,-3.75
136,-3.0
137,-4.15
138,-5.75
139,-2.9
140,-4.0
141,-4.0
142,-2.5
143,-7.5
144,-4.5
145,-4.15
146,-5.15
147,-3.75
148,-2.05
149,-4.0
150,-5.050000000000001
151,-2.5
152,-6.75
153,-2.75
154,-2.15
155,-4.05
156,-4.4
157,-4.5
158,-5.65
159,-4.4
160,-2.3
161,-2.25
162,-1.9
163,-2.4
164,-6.550000000000001
165,-2.8
166,-3.8
167,-4.15
168,-4.75
169,-1.7
170,-4.5
171,-3.8
172,-7.0
173,-4.5
174,-4.75
175,-3.65
176,-3.3
177,-2.15
178,-4.25
179,-5.300000000000001
180,-1.15
181,-5.0
182,-5.5
183,-6.0
184,-4.3
185,-4.0
186,-4.75
187,-4.75
188,-3.5
189,-5.3
190,-4.75
191,-2.8
192,-2.9
193,-4.05
194,-2.3
195,-5.75
196,-3.9
197,-3.5
198,1.5
199,-4.25
200,-2.5
201,-1.5
202,-6.15
203,-1.1999999999999997
204,-3.3
205,0.5
206,-5.25
207,-4.0
