Title,Artist,Tempo,Loudness,Energy,Danceability,Duration,Key,Mode,Year,Hotttnesss,AvgTimbre,AvgPitches,FilteredTerms
I Didn't Mean To,Casual,92.198,-11.197,0.0,0.0,218.93179,1,0,0,0.6021199899057548,2.8237583724493054,0.3643109724889796,hip hop:1.000;underground rap:0.898;g funk:0.884;alternative rap:0.843;gothic rock:0.843;west coast rap:0.832;rap:0.826;club dance:0.799;singer-songwriter:0.743;chill-out:0.739;underground hip hop:0.725;rock:0.714;gothic:0.670;san francisco bay area:0.657;indie:0.651;american:0.651;punk:0.651;california:0.651;industrial:0.651;new york:0.651;90s:0.651;latin:0.651;spanish:0.651;dark:0.651;ebm:0.651;underground:0.651;deathrock:0.636;west coast:0.633;san francisco:0.620;producer:0.619;oakland:0.614;catalan:0.596;barcelona:0.562;doomsdope:0.551;norcal:0.529;west coast hip hop:0.490;alternative rock:0.383
Soul Deep,The Box Tops,121.274,-9.843,0.0,0.0,148.03546,6,0,1969,nan,7.274298221622691,0.2965692539201403,blue-eyed soul:1.000;pop rock:0.846;blues-rock:0.831;beach music:0.799;soft rock:0.788;soul:0.784;classic rock:0.782;oldies:0.772;power pop:0.767;psychedelic rock:0.763;rock:0.746;sunshine pop:0.723;blues:0.716;singer-songwriter:0.691;pop:0.685;united states:0.681;male vocalist:0.668;rock 'n roll:0.657;60s:0.640;am pop:0.629;r&b:0.626;american:0.622;male:0.609;psychedelic:0.609;classic:0.609;vocal:0.609;americana:0.609;game music:0.607;mod:0.603;trippy:0.598;french:0.566;germany:0.559;canada:0.559;70s:0.559;belgium:0.559;cover:0.556;nederland:0.540;confident:0.535
Amor De Cabaret,Sonora Santanera,100.07,-9.689,0.0,0.0,177.47546,8,1,0,nan,1.9262268943501364,0.3159877602306006,salsa:1.000;cumbia:0.958;tejano:0.958;ranchera:0.958;latin pop:0.794;latin:0.764;tropical:0.728;instrumental:0.681;christmas music:0.652;boleros:0.482
Something Girls,Adam Ant,119.293,-9.013,0.0,0.0,233.40363,0,1,1982,nan,10.121688269726725,0.3513369412349613,pop rock:1.000;new wave:0.964;dance rock:0.927;rock:0.891;new romantic:0.887;europop:0.868;beat:0.868;british pop:0.835;louisiana blues:0.835;gothic rock:0.829;glam rock:0.824;alternative rock:0.812;synthpop:0.810;techno:0.802;electronic:0.793;punk:0.789;acid jazz:0.788;ska:0.784;classic rock:0.769;pop:0.768;soundtrack:0.765;united states:0.738;singer-songwriter:0.737;house:0.736;blues:0.730;germany:0.703;acid:0.703;dance:0.702;british:0.694;80s:0.694;jazz:0.692;male vocalist:0.680;female vocalist:0.679;european:0.667;alternative:0.651;instrumental:0.651;sexy:0.651;classical:0.651;gothic:0.651;english:0.651;indie:0.619;hardcore:0.619;industrial:0.619
Face the Ashes,Gob,129.738,-4.501,0.0,0.0,209.60608,2,1,2007,0.6045007385888197,8.218263150507696,0.3967365797831716,pop punk:1.000;ska punk:0.961;breakcore:0.959;alternative metal:0.947;punk pop:0.936;grunge:0.925;rock:0.923;punk:0.921;punk revival:0.919;grindcore:0.904;soundtrack:0.896;pop rock:0.894;ska:0.878;alternative rock:0.865;classic rock:0.859;emo:0.856;death metal:0.852;hard rock:0.843;hip hop:0.838;techno:0.834;rap:0.831;pop:0.824;alternative:0.824;singer-songwriter:0.816;indie:0.803;canadian:0.803;canada:0.803;underground:0.771;hardcore:0.771;energetic:0.746;metal:0.703;electronic:0.703;experimental:0.703;90s:0.703;japanese:0.703;english:0.703;crossover:0.703;japan:0.703
The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,147.782,-9.323,0.0,0.0,267.7024,5,1,0,nan,0.3500539179785849,0.2632680093372698,southern gospel:1.000;bluegrass:0.889;gospel:0.661;ballad:0.590;california:0.541;dance:0.435;country:0.393;beautiful:0.393;progressive:0.378;classic:0.377;roots:0.377;christian:0.349;world:0.340;male:0.339
Keepin It Real (Skit),Rated R,111.787,-17.302,0.0,0.0,114.78159,1,1,0,nan,5.97895654607812,0.3661732890426881,breakbeat:1.000;dirty south rap:0.926;hip hop:0.865;electronic:0.798;trance:0.791;electro:0.789;rap:0.784;soul:0.769;united states:0.700;urban:0.669;southern rap:0.641;up beat:0.637;ohio:0.625
Drop of Rain,Tweeterfriendly Music,101.43,-11.642,0.0,0.0,189.57016,4,0,0,nan,-7.492476678335259,0.234394333610413,post-hardcore:1.000;screamo:0.997;emo:0.946;hardcore:0.753;punk revival:0.662;rock:0.415;acoustic:0.410;pop:0.367;metal:0.367
Pink World,Planet P Project,86.643,-13.496,0.0,0.0,269.81832,4,1,1984,0.26586104921065007,2.960832145671611,0.3944675306236874,new wave:1.000;progressive rock:0.987;space rock:0.983;eurodance:0.966;hard rock:0.902;rock:0.880;techno:0.842;europop:0.834;80s:0.806;progressive:0.806;germany:0.770;german:0.740;guitar:0.740;melodic rock:0.734;aor:0.726;instrumental:0.691;electronic:0.691;beautiful:0.691;remix:0.690;mysterious:0.643;synth rock:0.587;cosmic:0.554;sci-fi:0.547;alternative rock:0.360
Insatiable (Instrumental Version),Clp,114.041,-6.697,0.0,0.0,266.39628,7,0,0,nan,11.441900566156301,0.37849877232175366,breakcore:1.000;miami bass:0.987;new rave:0.987;grime:0.987;breakbeat:0.969;hip hop:0.944;electro:0.902;techno:0.874;intelligent dance music:0.862;electronic:0.800;experimental:0.743;germany:0.743;abstract:0.743;rock:0.734;house:0.700;electro house:0.697;fm4:0.624;electro-funk:0.583;sxsw 2009:0.542;ghetto tech:0.485
Young Boy Blues,JennyAnyKind,146.765,-10.021,0.0,0.0,218.77506,5,0,0,0.0,1.9160603059845183,0.3049256199949141,alternative rock:1.000;indie rock:0.958;rock:0.951;alternative pop rock:0.931;alternative:0.779;north carolina:0.721;united states:0.717;religious music:0.694;swamp rock:0.694;blues:0.649;blues-rock:0.648;slide:0.648;roots rock:0.648;rockabilly:0.630;california:0.593;south carolina:0.556;jazz:0.521;punk:0.499;psychedelic:0.438;pop:0.437;american:0.429;guitar:0.427;world:0.406;ambient:0.392;piano:0.392;instrumental:0.392;british:0.390;country:0.390;indie:0.377;90s:0.346;soul:0.346;acoustic:0.344
The Urgency (LP Version),Wayne Watson,117.975,-7.545,0.0,0.0,245.21098,7,1,0,0.26586104921065007,3.1921739891401373,0.2927062505940682,ccm:1.000;religious music:0.904;los angeles:0.868;christian rock:0.842;pop:0.803;contemporary christian:0.749;spiritual:0.744;inspirational:0.711;male vocalist:0.704;christian:0.696;gospel:0.659;christmas music:0.655;song writer:0.634;beautiful:0.622;texas:0.622;praise & worship:0.573;contemporary gospel:0.572;black gospel:0.558;christian pop:0.526;holiday:0.484
La Culpa,Andy Andy,130.04,-6.632,0.0,0.0,226.35057,9,1,0,0.0,-0.09753465708605358,0.30492559195043073,bachata:1.000;merengue:0.862;reggaeton:0.840;latin pop:0.728;spanish:0.602;relax:0.597;latin:0.595;moje standards:0.528
Auguri Cha Cha,Bob Azzam,137.334,-7.75,0.0,0.0,191.84281,10,0,0,0.0,4.128161588473263,0.29840142953035914,chanson:1.000;latin jazz:0.992;soul jazz:0.950;soft rock:0.942;jazz funk:0.926;batucada:0.926;rare groove:0.926;pop rock:0.899;europop:0.884;future jazz:0.884;smooth jazz:0.854;jazz:0.850;oldies:0.823;easy listening:0.805;rock:0.789;funk:0.782;pop:0.774;downtempo:0.769;latin:0.761;hip hop:0.735;male vocalist:0.727;electronic:0.724;world:0.690;french:0.678;fusion:0.649;70s:0.649;belgium:0.649;vocal:0.649;country:0.607;folk:0.607;germany:0.607;mondiovision:0.607;jazz rock:0.592;breakbeat:0.587;synthpop:0.568;funk soul:0.491;teppaz:0.482
Tonight Will Be Alright,Lionel Richie,125.197,-8.346,0.0,0.0,307.3824,3,1,1986,nan,12.213248776974694,0.3026618966217168,quiet storm:1.000;soft rock:0.962;pop:0.732;urban:0.731;adult contemporary:0.694;ballad:0.670;new jack swing:0.602;soundtrack:0.504;funk:0.480;male:0.389;classic:0.373;vocal:0.349;soul:0.308
Floating,Blue Rodeo,119.826,-8.576,0.0,0.0,491.12771,7,1,1987,0.4051157216913865,0.6609016227125224,0.3287200303942081,country rock:1.000;heartland rock:0.874;pop rock:0.871;folk rock:0.855;psychedelic rock:0.823;blues-rock:0.801;soft rock:0.790;rock:0.785;country:0.775;neo soul:0.769;alternative rock:0.767;southern rock:0.762;ballad:0.759;chanson:0.757;classic rock:0.737;pop:0.729;new wave:0.714;americana:0.712;easy listening:0.710;disco:0.710;hip hop:0.707;blues:0.699;hard rock:0.694;alternative country:0.677;indie rock:0.672;soundtrack:0.670;progressive rock:0.669;jazz:0.663;funk:0.661;canada:0.655;singer-songwriter:0.643;folk:0.642;punk:0.634;electronica:0.627;male vocalist:0.620;electronic:0.610;world:0.610;canadian:0.610;soul:0.610;acoustic:0.561;metal:0.561;90s:0.561;alternative:0.561;indie:0.561;80s:0.561;industrial:0.561;progressive:0.561;lounge:0.561
